"Year","Beech","Pop_size","R_pop_size","Spring_precip","Spring_temp","Winter_temp","Winter_precip"
1961,-1,-1.16826362852874,-1.07858728832908,-0.0654980122267416,1.52963476903696,-0.7447561051738,0.729022096649344
1962,1,-1.45023171558748,-1.37005558007106,-0.463187107472053,-2.16854394155928,-4.01889074387279,-1.37508486972336
1963,-1,-1.18052311057477,-0.988904737023859,-0.335163905578014,-0.313285813686171,-0.979082507526569,-2.01867236425805
1964,-1,-0.86177657737793,-0.450809429192521,-0.0654980122267416,-0.908572295179426,-1.03133606632389,-1.06527770903045
1965,-1,-0.97211191579222,-0.697436445281884,0.187824493648696,-0.788281244475272,0.00896575679459325,0.699516652773828
1966,-1,-1.27859896694303,-1.01132537485017,0.800701523992497,-0.5708320378964,0.435522634602983,0.312257701907685
1967,-1,-1.68316187446209,-1.72878578529195,0.536483426466503,-0.328707743207475,-0.915187718379888,-0.281539356087066
1968,1,-1.71994032060019,-1.59426195833412,0.163309412434944,-0.60784466896652,-0.902954870206095,0.27906407754773
1969,-1,-1.83027565901448,-1.63910323398673,0.531035630641225,-1.71976579106589,-0.795280318070359,0.469005372496362
1970,1,-1.74445928469225,-1.45973813137628,-0.204416805771337,-1.88940701580024,-0.286725127797057,-0.0362753538718425
1971,-1,-1.58508601809383,-1.39247621789736,-0.414156945044549,-1.2956627275876,0.235737646420138,-0.515738816848971
1972,-1,-1.71994032060019,-1.68394450963934,-0.291581538975789,0.110817248697165,0.12243816882786,-0.919594579895091
1973,-1,-1.31537741308112,-1.59426195833412,0.198720085299252,-1.22626404419425,0.69973941888084,0.190547745921183
1974,1,-1.74445928469225,-2.04267471486023,-1.92047249073398,-1.26173448198376,1.47748098912076,-0.567373343631124
1975,-1,-1.24182052080493,-1.50457940702889,-0.283409845237871,-1.09055106396879,0.225907679031135,-1.91540331069374
1976,1,-1.68316187446209,-2.02025407703393,-1.47102933514853,-0.709629403588136,-0.844976265267271,2.37579468295156
1977,-1,-0.849517095331898,-0.787118996587107,-0.613001492667204,-0.90394571643253,-0.37452130090494,0.338074965298762
1978,-1,-0.947592951700156,-1.145849201808,-0.343335599315932,-1.04120088993861,-2.05755737105749,1.09230787436663
1979,0,-1.21730155671287,-1.28037302876583,1.56339293953145,-1.82155052568751,0.139076298813153,0.754839360040419
1980,1,-0.604327454411253,-0.383547515713603,-1.54457457878978,-1.14298562456022,-0.135980755552466,-1.29578898930792
1981,-1,0.0699440581205194,0.356333532554488,0.689021709574294,0.235734878148215,-1.41647965542272,-0.00123763926966815
1982,1,-0.628846418503318,-0.562912618324049,-1.17140056475822,-0.592422739445217,-0.05812377158579,-0.578437885084442
1983,0,0.866810391112615,0.71506373777538,2.43776416948861,-0.775943701515204,-0.0550655595423417,0.0633055192080223
1984,1,-0.714662792825544,-0.742277720934496,-0.890839079756394,-1.38048334050225,-1.3684402396251,-0.73149737518868
1985,-1,-0.923073987608092,-1.10100792615539,0.187824493648696,-1.0705025557006,-1.08186027922045,0.358359957963178
1986,-1,-1.08244725420651,-1.28037302876583,0.94779201127501,-1.93258841889787,-0.781199799685477,-1.01733136273274
1987,1,-0.175245582800125,-0.159341137450545,-0.169006132907028,-0.242344938107165,0.575690690073075,-0.0639367075051384
1988,-1,0.0822035401665516,0.221809705596653,-1.20136344179725,-0.0665349413453084,1.46754179923412,-1.13166495775036
1989,-1,-0.506251598042996,-0.585333256150355,-0.362402884704406,0.0506717238925677,1.62408403212168,2.71879546800443
1990,-1,-0.567549008273157,-0.585333256150355,-2.1029736508808,1.11941182831917,-1.07771886723302,-0.471480651035698
1991,1,-1.56056705400177,-1.34763494224475,-1.127818198156,-0.0819563770410053,-0.122237258431646,-1.75127927913619
1992,-1,-0.714662792825544,-1.01132537485017,0.370325653795517,0.545715678279266,0.230940654942797,-0.425378394980205
1993,-1,0.474506965639583,0.513277997338628,0.531035630641225,0.343688447209891,0.393280913960832,1.46297001305279
1994,0,0.560323339961809,1.14105585647519,0.82249270729361,0.607403365705686,1.21243585565407,1.72667491769021
1995,1,-0.052650762339803,0.55811927299124,-0.907182467232229,0.534920497223192,-1.01512582813253,0.769592081978177
1996,-1,0.915848319296743,1.9706194560485,-0.580314717715535,-1.39744757060996,-0.475569477721365,-0.985981828615002
1997,0,0.597101786099905,1.1634764943015,-0.640240471793595,1.36616257802485,1.2058096465677,-0.66142194598433
1998,0,0.0699440581205194,0.759905013427992,0.60730477219512,0.547257377734276,0.915916539875265,0.631285313811698
1999,-1,-0.248802475076319,-0.204182413103157,0.0598012917546576,1.34611391536771,0.596989321617416,0.454252650558604
2000,1,-0.212024028938222,-0.405968153539909,2.68563887953877,0.408460628503333,0.293889268543703,1.15316285235988
2001,-1,0.805512980882453,0.804746289080604,0.0516295980167404,-0.894692589597535,0.727900372906853,-0.211463926882716
2002,0,0.989405211572937,0.849587564733215,-0.136319357955359,0.96519260975312,0.388311816225458,0.61837668211616
2003,0,0.486766447685615,0.782325651254298,-0.583038615628174,1.15796635922143,0.648596077726014,-0.0178344514496453
2004,1,-0.138467136662029,-0.316285602234686,0.0924880667063271,0.541089484957234,0.633477825225097,-1.61112842072749
2005,-1,1.4307465652301,1.36526223473825,-0.670203348832626,0.869576584746468,-0.251109533497524,-1.17039085283697
2006,0,1.0507026218031,0.28907161907557,0.945068113362371,-0.140560665557404,1.63899256797495,1.10152832557773
2007,0,1.95790429320948,1.45494478604347,0.836112196856806,1.8442416081011,1.0442528441533,-0.12294759525617
