"F_ID","Year","Nest_box","Survival","Num_recruited","April_hatch","Synchrony","Clutch_size","Age","Immigrant","beech","pop_size","Spring_temp","winter_temp","winter_precip_t","spring_precip_t","Round","Half_fall","R_pop_size","Spring_temp_max"
"T176948",2009,"C151",1,1,-2.2333843563611,-1.24441751537456,0.756628490516024,2,1,1,0.440126645582398,1.19882145701178,-1.36624645213713,1.40769378229357,-0.762163320364566,"C",-1.2641685868201,-0.200477668709996,1.26720270075562
"BP11908",1975,"W36",1,0,0.0108886336975085,-1.47241831517345,-1.06992296584354,2,0,0,-1.23800616781361,-1.08812860106237,0.226205187481674,-1.90813881796146,-0.282634675757338,"W",1.24334883137024,-1.49882394662235,-1.53990082924574
"BP11908",1976,"W36",1,0,-0.781207715734943,-1.11982251919332,-0.461072480390351,2,0,2,-1.67897537425343,-0.707227242987294,-0.844517501162286,2.36899114921895,-1.47055790898888,"W",0.130630575733249,-2.01368540165656,-0.499725830235142
"BJ54694",1972,"B121",1,0,-0.385159541018717,-0.358604892768682,1.36547897596921,2,1,0,-1.71572280812342,0.113175681255261,0.122751257905666,-0.91559469149931,-0.290808459472234,"B",-0.0975162950146931,-1.67790619185164,-0.0717434131866795
"BH62730",1971,"MP49",1,0,0.14290469193625,-0.820987458605197,-2.28762393674991,2,0,0,-1.5809822172668,-1.29322933267046,0.236033674656287,-0.51306290687855,-0.413415215195673,"MP",0.834514469708774,-1.38689754335405,-0.883997360693918
"603704",1964,"B215",1,1,-0.253143482779975,-0.16955660203694,-0.461072480390351,2,1,0,-0.858282684490422,-0.906159531350156,-1.0308492398207,-1.06080022111136,-0.0646671100267802,"B",-0.119432374167988,-0.446715755900271,-1.43926972220685
"607098",1963,"W1",1,0,0.406936808413734,-0.983845172747261,1.36547897596921,2,0,0,-1.17676044469696,-0.310904777346599,-0.978603549459412,-2.01106931996494,-0.334401972618346,"W",1.24334883137024,-0.983962491588143,-0.578621578832459
"607098",1965,"EX51C",1,0,2.25516162375612,2.92473996666228,0.756628490516024,2,0,0,-0.968524986100378,-0.785874891900399,0.0092959327548406,0.698208536340997,0.188720185134994,"EX",-0.119432374167988,-0.692953843090545,-0.212242691510669
"608794",1963,"MP3",1,0,-0.649191657496201,-2.28670688588378,0.756628490516024,2,1,0,-1.17676044469696,-0.310904777346599,-0.978603549459412,-2.01106931996494,-0.334401972618346,"MP",1.24334883137024,-0.983962491588143,-0.578621578832459
"BA01191",1963,"EX63",1,0,0.274920750174992,-1.14670288688933,1.9743294614224,2,0,0,-1.17676044469696,-0.310904777346599,-0.978603549459412,-2.01106931996494,-0.334401972618346,"EX",1.24334883137024,-0.983962491588143,-0.578621578832459
"608506",1963,"EX1",1,0,0.406936808413734,-0.983845172747261,1.9743294614224,2,1,0,-1.17676044469696,-0.310904777346599,-0.978603549459412,-2.01106931996494,-0.334401972618346,"EX",1.24334883137024,-0.983962491588143,-0.578621578832459
"607468",1963,"B38",1,0,1.19903315784619,-0.0066988878948758,0.147778005062837,2,0,0,-1.17676044469696,-0.310904777346599,-0.978603549459412,-2.01106931996494,-0.334401972618346,"B",1.24334883137024,-0.983962491588143,-0.578621578832459
"607468",1964,"B203",1,0,2.38717768199486,3.08759768080435,-0.461072480390351,2,0,0,-0.858282684490422,-0.906159531350156,-1.0308492398207,-1.06080022111136,-0.0646671100267802,"B",-0.119432374167988,-0.446715755900271,-1.43926972220685
"BA12729",1962,"O8",1,0,0.670968924891218,-1.63527602931552,0.756628490516024,2,1,2,-1.44624162641019,-2.16606402394998,-4.01795404594581,-1.36959172712181,-0.462457917485049,"O",2.06101755469318,-1.36451226270039,-1.46664906875204
"608661",1962,"O59",1,0,1.19903315784619,-0.983845172747261,-0.461072480390351,2,1,2,-1.44624162641019,-2.16606402394998,-4.01795404594581,-1.36959172712181,-0.462457917485049,"O",2.06101755469318,-1.36451226270039,-1.46664906875204
"BA12804",1962,"MP84",1,0,0.0108886336975085,-2.44956460002584,-0.461072480390351,2,1,2,-1.44624162641019,-2.16606402394998,-4.01795404594581,-1.36959172712181,-0.462457917485049,"MP",2.06101755469318,-1.36451226270039,-1.46664906875204
"BA12804",1964,"MP22",1,1,-0.253143482779975,-0.16955660203694,1.36547897596921,2,1,0,-0.858282684490422,-0.906159531350156,-1.0308492398207,-1.06080022111136,-0.0646671100267802,"MP",-0.119432374167988,-0.446715755900271,-1.43926972220685
"BA12809",1962,"EX41",1,0,0.538952866652476,-1.79813374345758,-0.461072480390351,2,1,2,-1.44624162641019,-2.16606402394998,-4.01795404594581,-1.36959172712181,-0.462457917485049,"EX",2.06101755469318,-1.36451226270039,-1.46664906875204
"BA12822",1962,"EX25",1,0,1.06701709960744,-1.14670288688933,0.147778005062837,2,1,2,-1.44624162641019,-2.16606402394998,-4.01795404594581,-1.36959172712181,-0.462457917485049,"EX",2.06101755469318,-1.36451226270039,-1.46664906875204
"BA01686",1962,"B99",1,0,1.46306527432367,-0.658129744463133,0.147778005062837,2,0,2,-1.44624162641019,-2.16606402394998,-4.01795404594581,-1.36959172712181,-0.462457917485049,"B",2.06101755469318,-1.36451226270039,-1.46664906875204
"608380",1962,"B27",1,0,1.99112950727864,-0.0066988878948758,0.147778005062837,2,1,2,-1.44624162641019,-2.16606402394998,-4.01795404594581,-1.36959172712181,-0.462457917485049,"B",2.06101755469318,-1.36451226270039,-1.46664906875204
