"F_ID","Year","Nest_box","Survival","Num_recruited","April_hatch","Synchrony","Clutch_size","Age","Immigrant","beech","pop_size","Spring_temp","winter_temp","winter_precip_t","spring_precip_t","Round","Half_fall","R_pop_size","MOTHER","animal","ID"
"VJ58988",1994,"SW50",1,0,0.670968924891218,0.547017340188143,0.756628490516024,1,0,1,0.562618091815683,0.609735331291321,1.21258481089527,1.72199942233992,0.823550720325244,"SW",0.234890739271952,1.14263917050968,"F_2199526","VJ58988","VJ58988"
"VJ58988",1996,"SW54",0,0,0.80298498312996,-0.918702087090436,-1.06992296584354,2,0,0,0.91784328589221,-1.3950087507795,-0.47516633956315,-0.98176429993012,-0.579615484065224,"SW",1.59767194481018,1.97089455469515,"F_2199526","VJ58988","VJ58988"
"F938404",1994,"SW51",0,0,1.46306527432367,1.52416362504053,0.147778005062837,1,1,1,0.562618091815683,0.609735331291321,1.21258481089527,1.72199942233992,0.823550720325244,"SW",0.234890739271952,1.14263917050968,NA,"F938404","F938404"
"J745167",1994,"SW6",0,0,0.670968924891218,0.547017340188143,-1.06992296584354,1,1,1,0.562618091815683,0.609735331291321,1.21258481089527,1.72199942233992,0.823550720325244,"SW",0.234890739271952,1.14263917050968,NA,"J745167","J745167"
"VJ59296",1994,"SW61",0,0,0.538952866652476,0.384159626046079,0.147778005062837,1,0,1,0.562618091815683,0.609735331291321,1.21258481089527,1.72199942233992,0.823550720325244,"SW",0.234890739271952,1.14263917050968,"VH82765","VJ59296","VJ59296"
"VJ59012",1994,"SW64",1,0,0.406936808413734,0.221301911904014,0.756628490516024,1,0,1,0.562618091815683,0.609735331291321,1.21258481089527,1.72199942233992,0.823550720325244,"SW",0.234890739271952,1.14263917050968,"F938299","VJ59012","VJ59012"
"VJ59012",1995,"SW70",0,1,-1.04523983221243,-0.430128944664243,1.9743294614224,2,0,2,-0.0498391393507414,0.537256325989891,-1.01464144259652,0.768054234129074,-0.906566832661061,"SW",-0.71905610460481,0.560621873514489,"F938299","VJ59012","VJ59012"
"VH99923",1994,"SW77",0,0,0.538952866652476,0.384159626046079,0.147778005062837,2,0,1,0.562618091815683,0.609735331291321,1.21258481089527,1.72199942233992,0.823550720325244,"SW",0.234890739271952,1.14263917050968,"VH21113","VH99923","VH99923"
"VB55789",1994,"SW82",0,0,-0.121127424541233,-0.430128944664243,-1.06992296584354,1,0,1,0.562618091815683,0.609735331291321,1.21258481089527,1.72199942233992,0.823550720325244,"SW",0.234890739271952,1.14263917050968,"H300521","VB55789","VB55789"
"F938393",1994,"SW87",0,0,-0.121127424541233,-0.430128944664243,-0.461072480390351,1,1,1,0.562618091815683,0.609735331291321,1.21258481089527,1.72199942233992,0.823550720325244,"SW",0.234890739271952,1.14263917050968,NA,"F938393","F938393"
"VH82647",1994,"SW9",0,0,0.538952866652476,0.384159626046079,0.147778005062837,2,0,1,0.562618091815683,0.609735331291321,1.21258481089527,1.72199942233992,0.823550720325244,"SW",0.234890739271952,1.14263917050968,"VH84881","VH82647","VH82647"
