ID,FATHER,MOTHER
BA02058,NA,NA
BA02059,NA,NA
BA02060,NA,NA
BA02061,NA,NA
BA02062,NA,NA
BA02063,NA,NA
BA02064,NA,NA
BA02065,NA,NA
BA02066,NA,NA
BA02069,NA,NA
BA02088,NA,NA
BA02094,NA,NA
BA02095,NA,NA
BA02100,NA,NA
BA02107,NA,NA
BA02109,NA,NA
BA02115,NA,NA
BA02117,NA,NA
BA02118,NA,NA
BA02119,NA,NA
BA02120,NA,NA
BA02121,NA,NA
BA02123,NA,NA
BA02124,NA,NA
BA02125,NA,NA
BA02126,NA,NA
BA02127,NA,NA
BA02128,NA,NA
BA02129,NA,NA
BA02130,NA,NA
BA02131,NA,NA
BA02132,NA,NA
BA02133,NA,NA
BA02134,NA,NA
BA02135,NA,NA
BA02136,NA,NA
BA02137,NA,NA
BA02138,NA,NA
BA02139,NA,NA
BA02140,NA,NA
BA02141,NA,NA
BA02143,NA,NA
BA02146,NA,NA
BA02147,NA,NA
BA02148,NA,NA
BA02155,NA,NA
BA02169,NA,NA
BA02185,NA,NA
BA02187,NA,NA
BA02188,NA,NA
BA02190,NA,NA
BA02194,NA,NA
BA02199,NA,NA
BA04605,NA,NA
BA11664,NA,NA
BA12057,NA,NA
BA12247,NA,NA
BA12694,NA,NA
BA12711,NA,NA
BA12715,NA,NA
BA12726,NA,NA
BA12728,NA,NA
BA12729,NA,NA
BA12730,NA,NA
BA12743,NA,NA
BA12772,NA,NA
BA12799,NA,NA
BA12802,NA,NA
BA12803,NA,NA
BA12804,NA,NA
BA12807,NA,NA
BA12808,NA,NA
BA12809,NA,NA
BA12810,NA,NA
BA12811,NA,NA
BA12812,NA,NA
BA12813,NA,NA
BA12814,NA,NA
BA12815,NA,NA
BA12816,NA,NA
BA12817,NA,NA
BA12818,NA,NA
BA12819,NA,NA
BA12820,NA,NA
BA12821,NA,NA
BA12822,NA,NA
BA12823,NA,NA
BA12824,NA,NA
BA12825,NA,NA
BA12835,NA,NA
BA12836,NA,NA
BA12837,NA,NA
BA12838,NA,NA
BA12839,NA,NA
BA12840,NA,NA
BA12841,NA,NA
BA12842,NA,NA
BA12847,NA,NA
BA12848,NA,NA
BA12849,NA,NA
BA12850,NA,NA
BA12854,NA,NA
BA12871,NA,NA
BA12877,NA,NA
BA12892,NA,NA
BA12915,NA,NA
BA12916,NA,NA
BA12919,NA,NA
BA12920,NA,NA
BA12921,NA,NA
BA12922,NA,NA
BA12923,NA,NA
BA12924,NA,NA
BA12925,NA,NA
BA12927,NA,NA
BA12928,NA,NA
BA12929,NA,NA
BA12930,NA,NA
BA12931,NA,NA
BA12932,NA,NA
BA12933,NA,NA
BA12957,NA,NA
BA13654,NA,NA
BA25330,NA,NA
BA25345,NA,NA
BA25446,NA,NA
BA26313,NA,NA
BA26444,NA,NA
BA26953,NA,NA
BA26957,NA,NA
BA42392,NA,NA
BA42394,NA,NA
BA42575,NA,NA
BA43146,NA,NA
BA43150,NA,NA
BA43242,NA,NA
BA43243,NA,NA
BA43244,NA,NA
BA43280,NA,NA
BA43282,NA,NA
BA43289,NA,NA
BA43297,NA,NA
BA43317,NA,NA
BA43357,NA,NA
BA43374,NA,NA
BA43389,NA,NA
BA43393,NA,NA
BA43396,NA,NA
BA43401,NA,NA
BA44508,NA,NA
BA44512,NA,NA
BA44513,NA,NA
BA44514,NA,NA
BA44515,NA,NA
BA44516,NA,NA
BA44517,NA,NA
BA44518,NA,NA
BA44519,NA,NA
BA44522,NA,NA
BA44523,NA,NA
BA44524,NA,NA
BA44604,NA,NA
BA44618,NA,NA
BA44623,NA,NA
BA44669,NA,NA
BA44679,NA,NA
BA44681,NA,NA
BA44695,NA,NA
BA44700,NA,NA
BA44701,NA,NA
BA44713,NA,NA
BA44715,NA,NA
BA44719,NA,NA
BA44720,NA,NA
BA44724,NA,NA
BA44725,NA,NA
BA44726,NA,NA
BA44727,NA,NA
BA44729,NA,NA
BA44731,NA,NA
BA44732,NA,NA
BA44733,NA,NA
BA44734,NA,NA
BA44735,NA,NA
BA44736,NA,NA
BA44737,NA,NA
BA44738,NA,NA
BA44740,NA,NA
BA44741,NA,NA
BA44742,NA,NA
BA44743,NA,NA
BA44744,NA,NA
BA44746,NA,NA
BA44747,NA,NA
BA44748,NA,NA
BA44749,NA,NA
BA44750,NA,NA
BA44751,NA,NA
BA44752,NA,NA
BA44753,NA,NA
BA44754,NA,NA
BA44767,NA,NA
BA44927,NA,NA
BA44928,NA,NA
BA47108,NA,NA
BA47516,NA,NA
BA47549,NA,NA
BA47553,NA,NA
BA47555,NA,NA
BA47567,NA,NA
BA47568,NA,NA
BA47577,NA,NA
BA47580,NA,NA
BA47583,NA,NA
BA47584,NA,NA
BA47586,NA,NA
BA47587,NA,NA
BA47588,NA,NA
BA47599,NA,NA
BA47604,NA,NA
BA47626,NA,NA
BA47650,NA,NA
BA47753,NA,NA
BA47761,NA,NA
BA47764,NA,NA
BA47765,NA,NA
BA47766,NA,NA
BA47833,NA,NA
BA47834,NA,NA
BA47835,NA,NA
BA47836,NA,NA
BA47837,NA,NA
BA47838,NA,NA
BA47839,NA,NA
BA47840,NA,NA
BA47843,NA,NA
BA47844,NA,NA
BA47845,NA,NA
BA47846,NA,NA
BA47847,NA,NA
BA47848,NA,NA
BA47849,NA,NA
BA47850,NA,NA
BA47851,NA,NA
BA47853,NA,NA
BA47854,NA,NA
BA47856,NA,NA
BA47857,NA,NA
BA47858,NA,NA
BA47860,NA,NA
BA47861,NA,NA
BA47862,NA,NA
BA47874,NA,NA
BA47875,NA,NA
BA47885,NA,NA
BA47901,NA,NA
BA47935,NA,NA
BA47936,NA,NA
BA47937,NA,NA
BA47940,NA,NA
BA47969,NA,NA
BA47970,NA,NA
BA47971,NA,NA
BA47973,NA,NA
BA47976,NA,NA
BA47977,NA,NA
BA47978,NA,NA
BA47979,NA,NA
BA47980,NA,NA
