F_ID,Year,Nest_box,Survival,Num_recruited,April_hatch,Synchrony,Clutch_size,Age,Immigrant,beech,pop_size,Spring_temp,winter_temp,winter_precip_t,spring_precip_t,Round,Half_fall,R_pop_size,Spring_temp_GT,Spring_temp_cat
KJ73148,1980,EX34A,0,1,44,-21.4970474220139,11,2,1,2,177,6.829577465,4.122222222,93,49.6,EX,65.4970474220139,114,10.8602941176471,11.5865909090909
NC09769,1979,EX38A,0,0,45,-28.1808729963165,9,1,0,1,127,6.209859155,4.491208791,204.2,163.7,EX,73.1808729963165,74,9.75470588235294,10.4664772727273
NC09094,1979,EX39C,1,1,49,-24.1808729963165,10,1,0,1,127,6.209859155,4.491208791,204.2,163.7,EX,73.1808729963165,74,9.75470588235294,10.4664772727273
NC09094,1980,EX14B,0,1,46,-19.4970474220139,12,2,0,2,177,6.829577465,4.122222222,93,49.6,EX,65.4970474220139,114,10.8602941176471,11.5865909090909
NA22712,1979,EX4,0,0,50,-23.1808729963165,10,1,0,1,127,6.209859155,4.491208791,204.2,163.7,EX,73.1808729963165,74,9.75470588235294,10.4664772727273
NC09273,1979,EX42,0,1,48,-25.1808729963165,12,1,0,1,127,6.209859155,4.491208791,204.2,163.7,EX,73.1808729963165,74,9.75470588235294,10.4664772727273
BJ05832,1979,EX43A,0,0,58,-15.1808729963165,10,1,0,1,127,6.209859155,4.491208791,204.2,163.7,EX,73.1808729963165,74,9.75470588235294,10.4664772727273
KC96230,1979,EX44,0,1,49,-24.1808729963165,11,2,1,1,127,6.209859155,4.491208791,204.2,163.7,EX,73.1808729963165,74,9.75470588235294,10.4664772727273
NA22961,1979,EX45,1,0,58,-15.1808729963165,12,1,0,1,127,6.209859155,4.491208791,204.2,163.7,EX,73.1808729963165,74,9.75470588235294,10.4664772727273
NA22961,1980,EX45,1,0,50,-15.4970474220139,11,2,0,2,177,6.829577465,4.122222222,93,49.6,EX,65.4970474220139,114,10.8602941176471,11.5865909090909
