"","Predator_change","Prey_change","Predator_range","Prey_range"
"low",0.0151125517059666,0.0159902019357454,5.84870823529412,5.70975454545455
"mid",0.0246753482476602,0.0258567594796508,6.22824926470587,6.22635193181819
"high",0.0371122716196846,0.0382078198775862,6.94575499999998,7.02866511363637
